,id,room_reclass,room_base,room_uncertain,filename,image_path_reclass,image_path_base,image_path_uncertain
190,06c9b0013dd61f5c2c944fd3f25e3b8136113bde,misc_ext,misc_int,uncertain,06c9b0013dd61f5c2c944fd3f25e3b8136113bde.jpg,./data/base_data/misc_ext/06c9b0013dd61f5c2c944fd3f25e3b8136113bde.jpg,./data/base_data/misc_int/06c9b0013dd61f5c2c944fd3f25e3b8136113bde.jpg,./data/base_data/uncertain/06c9b0013dd61f5c2c944fd3f25e3b8136113bde.jpg
377,0892593e1843db76cde57b605446ff2964314942,graphic,misc_int,uncertain,0892593e1843db76cde57b605446ff2964314942.jpg,./data/base_data/graphic/0892593e1843db76cde57b605446ff2964314942.jpg,./data/base_data/misc_int/0892593e1843db76cde57b605446ff2964314942.jpg,./data/base_data/uncertain/0892593e1843db76cde57b605446ff2964314942.jpg
166,06a8350c9abb11c6ce2c8113fb9f3f5463f16b7b,diningroom,kitchen,uncertain,06a8350c9abb11c6ce2c8113fb9f3f5463f16b7b.jpg,./data/base_data/diningroom/06a8350c9abb11c6ce2c8113fb9f3f5463f16b7b.jpg,./data/base_data/kitchen/06a8350c9abb11c6ce2c8113fb9f3f5463f16b7b.jpg,./data/base_data/uncertain/06a8350c9abb11c6ce2c8113fb9f3f5463f16b7b.jpg
50,0566505004ff70ca717e1d045054d045fd6285af,graphic,misc_ext,uncertain,0566505004ff70ca717e1d045054d045fd6285af.jpg,./data/base_data/graphic/0566505004ff70ca717e1d045054d045fd6285af.jpg,./data/base_data/misc_ext/0566505004ff70ca717e1d045054d045fd6285af.jpg,./data/base_data/uncertain/0566505004ff70ca717e1d045054d045fd6285af.jpg
477,29c398561a44c7990c4f959e665e84b3147aef99,diningroom,study,uncertain,29c398561a44c7990c4f959e665e84b3147aef99.jpg,./data/base_data/diningroom/29c398561a44c7990c4f959e665e84b3147aef99.jpg,./data/base_data/study/29c398561a44c7990c4f959e665e84b3147aef99.jpg,./data/base_data/uncertain/29c398561a44c7990c4f959e665e84b3147aef99.jpg
73,05976d9d1875b56e2e1e35b0dbf261ac88f758e7,exclude,misc_int,uncertain,05976d9d1875b56e2e1e35b0dbf261ac88f758e7.jpg,./data/base_data/exclude/05976d9d1875b56e2e1e35b0dbf261ac88f758e7.jpg,./data/base_data/misc_int/05976d9d1875b56e2e1e35b0dbf261ac88f758e7.jpg,./data/base_data/uncertain/05976d9d1875b56e2e1e35b0dbf261ac88f758e7.jpg
362,0875b4a143d0fe2c34ec26da4c5031d79aaf39c3,misc_ext,misc_int,uncertain,0875b4a143d0fe2c34ec26da4c5031d79aaf39c3.jpg,./data/base_data/misc_ext/0875b4a143d0fe2c34ec26da4c5031d79aaf39c3.jpg,./data/base_data/misc_int/0875b4a143d0fe2c34ec26da4c5031d79aaf39c3.jpg,./data/base_data/uncertain/0875b4a143d0fe2c34ec26da4c5031d79aaf39c3.jpg
345,08528a46b91df461f2b599227a9e93c8a709882c,graphic,misc_ext,uncertain,08528a46b91df461f2b599227a9e93c8a709882c.jpg,./data/base_data/graphic/08528a46b91df461f2b599227a9e93c8a709882c.jpg,./data/base_data/misc_ext/08528a46b91df461f2b599227a9e93c8a709882c.jpg,./data/base_data/uncertain/08528a46b91df461f2b599227a9e93c8a709882c.jpg
467,2051bbcb0352444c9b76641e17e5e16e40480929,diningroom,livingroom,uncertain,2051bbcb0352444c9b76641e17e5e16e40480929.jpg,./data/base_data/diningroom/2051bbcb0352444c9b76641e17e5e16e40480929.jpg,./data/base_data/livingroom/2051bbcb0352444c9b76641e17e5e16e40480929.jpg,./data/base_data/uncertain/2051bbcb0352444c9b76641e17e5e16e40480929.jpg
132,0645ba81d95546f52fb12602ffe8dfdf9b305d9f,graphic,misc_ext,uncertain,0645ba81d95546f52fb12602ffe8dfdf9b305d9f.jpg,./data/base_data/graphic/0645ba81d95546f52fb12602ffe8dfdf9b305d9f.jpg,./data/base_data/misc_ext/0645ba81d95546f52fb12602ffe8dfdf9b305d9f.jpg,./data/base_data/uncertain/0645ba81d95546f52fb12602ffe8dfdf9b305d9f.jpg
258,076c565cf4412a6a6e412380a59d58ce9c1aae0d,study,study,uncertain,076c565cf4412a6a6e412380a59d58ce9c1aae0d.jpg,./data/base_data/study/076c565cf4412a6a6e412380a59d58ce9c1aae0d.jpg,./data/base_data/study/076c565cf4412a6a6e412380a59d58ce9c1aae0d.jpg,./data/base_data/uncertain/076c565cf4412a6a6e412380a59d58ce9c1aae0d.jpg
301,07d6e7fd2d5b58936790d51010cbb2d59f74f8c7,graphic,misc_int,uncertain,07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg,./data/base_data/graphic/07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg,./data/base_data/misc_int/07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg,./data/base_data/uncertain/07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg
68,059345cc6d4d47efa8bd0dc309e05ca5f4d8d91d,graphic,misc_ext,uncertain,059345cc6d4d47efa8bd0dc309e05ca5f4d8d91d.jpg,./data/base_data/graphic/059345cc6d4d47efa8bd0dc309e05ca5f4d8d91d.jpg,./data/base_data/misc_ext/059345cc6d4d47efa8bd0dc309e05ca5f4d8d91d.jpg,./data/base_data/uncertain/059345cc6d4d47efa8bd0dc309e05ca5f4d8d91d.jpg
75,05a3eb97e29d74dc53b819191932cf9c565a39e7,diningroom,kitchen,uncertain,05a3eb97e29d74dc53b819191932cf9c565a39e7.jpg,./data/base_data/diningroom/05a3eb97e29d74dc53b819191932cf9c565a39e7.jpg,./data/base_data/kitchen/05a3eb97e29d74dc53b819191932cf9c565a39e7.jpg,./data/base_data/uncertain/05a3eb97e29d74dc53b819191932cf9c565a39e7.jpg
37,054afda42e3f2e577ece870cd2821156ff2151a9,misc_int,misc_int,uncertain,054afda42e3f2e577ece870cd2821156ff2151a9.jpg,./data/base_data/misc_int/054afda42e3f2e577ece870cd2821156ff2151a9.jpg,./data/base_data/misc_int/054afda42e3f2e577ece870cd2821156ff2151a9.jpg,./data/base_data/uncertain/054afda42e3f2e577ece870cd2821156ff2151a9.jpg
349,085dfc178014adf0104b76442b7bdb61d23a3b03,graphic,misc_int,uncertain,085dfc178014adf0104b76442b7bdb61d23a3b03.jpg,./data/base_data/graphic/085dfc178014adf0104b76442b7bdb61d23a3b03.jpg,./data/base_data/misc_int/085dfc178014adf0104b76442b7bdb61d23a3b03.jpg,./data/base_data/uncertain/085dfc178014adf0104b76442b7bdb61d23a3b03.jpg
250,075af6bd08cfa8df307c7db55530eb086bab724d,exclude,misc_int,uncertain,075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/exclude/075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/misc_int/075af6bd08cfa8df307c7db55530eb086bab724d.jpg,./data/base_data/uncertain/075af6bd08cfa8df307c7db55530eb086bab724d.jpg
45,0556c265e277f6c4035c00eb57aa3b51db5637c5,diningroom,kitchen,uncertain,0556c265e277f6c4035c00eb57aa3b51db5637c5.jpg,./data/base_data/diningroom/0556c265e277f6c4035c00eb57aa3b51db5637c5.jpg,./data/base_data/kitchen/0556c265e277f6c4035c00eb57aa3b51db5637c5.jpg,./data/base_data/uncertain/0556c265e277f6c4035c00eb57aa3b51db5637c5.jpg
482,2afd5617b6cf98c9cabca94472bd9d67f56f0459,misc_int,bathroom,uncertain,2afd5617b6cf98c9cabca94472bd9d67f56f0459.jpg,./data/base_data/misc_int/2afd5617b6cf98c9cabca94472bd9d67f56f0459.jpg,./data/base_data/bathroom/2afd5617b6cf98c9cabca94472bd9d67f56f0459.jpg,./data/base_data/uncertain/2afd5617b6cf98c9cabca94472bd9d67f56f0459.jpg
186,06c5bbdf5f05c64f3e1a42f1a33de99811219f83,carpark,rear,uncertain,06c5bbdf5f05c64f3e1a42f1a33de99811219f83.jpg,./data/base_data/carpark/06c5bbdf5f05c64f3e1a42f1a33de99811219f83.jpg,./data/base_data/rear/06c5bbdf5f05c64f3e1a42f1a33de99811219f83.jpg,./data/base_data/uncertain/06c5bbdf5f05c64f3e1a42f1a33de99811219f83.jpg
