,id,room_reclass,room_base,room_uncertain,filename,image_path_reclass,image_path_base,image_path_uncertain
30,05360c8b231c7554f6e50eed8045a70c7fc01561,graphic,misc_ext,uncertain,05360c8b231c7554f6e50eed8045a70c7fc01561.jpg,./data/base_data/graphic/05360c8b231c7554f6e50eed8045a70c7fc01561.jpg,./data/base_data/misc_ext/05360c8b231c7554f6e50eed8045a70c7fc01561.jpg,./data/base_data/uncertain/05360c8b231c7554f6e50eed8045a70c7fc01561.jpg
89,05c6a5ec1d5de615de23e2fa80b376262c9e44ec,diningroom,diningroom,uncertain,05c6a5ec1d5de615de23e2fa80b376262c9e44ec.jpg,./data/base_data/diningroom/05c6a5ec1d5de615de23e2fa80b376262c9e44ec.jpg,./data/base_data/diningroom/05c6a5ec1d5de615de23e2fa80b376262c9e44ec.jpg,./data/base_data/uncertain/05c6a5ec1d5de615de23e2fa80b376262c9e44ec.jpg
249,075644c860bf0b6fee80d28fb10fc7251d87e385,carpark,misc_ext,uncertain,075644c860bf0b6fee80d28fb10fc7251d87e385.jpg,./data/base_data/carpark/075644c860bf0b6fee80d28fb10fc7251d87e385.jpg,./data/base_data/misc_ext/075644c860bf0b6fee80d28fb10fc7251d87e385.jpg,./data/base_data/uncertain/075644c860bf0b6fee80d28fb10fc7251d87e385.jpg
125,06334bf23eae9b14c6d3c16908053776f442e4eb,graphic,misc_ext,uncertain,06334bf23eae9b14c6d3c16908053776f442e4eb.jpg,./data/base_data/graphic/06334bf23eae9b14c6d3c16908053776f442e4eb.jpg,./data/base_data/misc_ext/06334bf23eae9b14c6d3c16908053776f442e4eb.jpg,./data/base_data/uncertain/06334bf23eae9b14c6d3c16908053776f442e4eb.jpg
64,05820c06713af09c8d8fcea152837008bf797b4e,diningroom,kitchen,uncertain,05820c06713af09c8d8fcea152837008bf797b4e.jpg,./data/base_data/diningroom/05820c06713af09c8d8fcea152837008bf797b4e.jpg,./data/base_data/kitchen/05820c06713af09c8d8fcea152837008bf797b4e.jpg,./data/base_data/uncertain/05820c06713af09c8d8fcea152837008bf797b4e.jpg
265,078027b8b5d7080361861dee993b8ba792cf4722,graphic,misc_ext,uncertain,078027b8b5d7080361861dee993b8ba792cf4722.jpg,./data/base_data/graphic/078027b8b5d7080361861dee993b8ba792cf4722.jpg,./data/base_data/misc_ext/078027b8b5d7080361861dee993b8ba792cf4722.jpg,./data/base_data/uncertain/078027b8b5d7080361861dee993b8ba792cf4722.jpg
431,09050f041b4be753b582549a01da5f9781a18ec0,diningroom,kitchen,uncertain,09050f041b4be753b582549a01da5f9781a18ec0.jpg,./data/base_data/diningroom/09050f041b4be753b582549a01da5f9781a18ec0.jpg,./data/base_data/kitchen/09050f041b4be753b582549a01da5f9781a18ec0.jpg,./data/base_data/uncertain/09050f041b4be753b582549a01da5f9781a18ec0.jpg
126,063b19edc05ef895de5f9e99f3efc8d3d1167de3,graphic,misc_ext,uncertain,063b19edc05ef895de5f9e99f3efc8d3d1167de3.jpg,./data/base_data/graphic/063b19edc05ef895de5f9e99f3efc8d3d1167de3.jpg,./data/base_data/misc_ext/063b19edc05ef895de5f9e99f3efc8d3d1167de3.jpg,./data/base_data/uncertain/063b19edc05ef895de5f9e99f3efc8d3d1167de3.jpg
301,07d6e7fd2d5b58936790d51010cbb2d59f74f8c7,graphic,misc_int,uncertain,07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg,./data/base_data/graphic/07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg,./data/base_data/misc_int/07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg,./data/base_data/uncertain/07d6e7fd2d5b58936790d51010cbb2d59f74f8c7.jpg
452,094219525199e8d3fa78d599d0eb63b4f811a7c8,graphic,misc_int,uncertain,094219525199e8d3fa78d599d0eb63b4f811a7c8.jpg,./data/base_data/graphic/094219525199e8d3fa78d599d0eb63b4f811a7c8.jpg,./data/base_data/misc_int/094219525199e8d3fa78d599d0eb63b4f811a7c8.jpg,./data/base_data/uncertain/094219525199e8d3fa78d599d0eb63b4f811a7c8.jpg
233,072df7d867d957789b6d17127576d5c1ffb4fb72,carpark,rear,uncertain,072df7d867d957789b6d17127576d5c1ffb4fb72.jpg,./data/base_data/carpark/072df7d867d957789b6d17127576d5c1ffb4fb72.jpg,./data/base_data/rear/072df7d867d957789b6d17127576d5c1ffb4fb72.jpg,./data/base_data/uncertain/072df7d867d957789b6d17127576d5c1ffb4fb72.jpg
152,067fe1afc83445b9831e69a30a8abddddaf58f1b,graphic,misc_ext,uncertain,067fe1afc83445b9831e69a30a8abddddaf58f1b.jpg,./data/base_data/graphic/067fe1afc83445b9831e69a30a8abddddaf58f1b.jpg,./data/base_data/misc_ext/067fe1afc83445b9831e69a30a8abddddaf58f1b.jpg,./data/base_data/uncertain/067fe1afc83445b9831e69a30a8abddddaf58f1b.jpg
146,06705fcfd76f7f81cbde196b591059e3c0bccf63,front,garden,uncertain,06705fcfd76f7f81cbde196b591059e3c0bccf63.jpg,./data/base_data/front/06705fcfd76f7f81cbde196b591059e3c0bccf63.jpg,./data/base_data/garden/06705fcfd76f7f81cbde196b591059e3c0bccf63.jpg,./data/base_data/uncertain/06705fcfd76f7f81cbde196b591059e3c0bccf63.jpg
322,08078bc95f672d12d671e93f1cf6f3d8284cc43b,graphic,misc_ext,uncertain,08078bc95f672d12d671e93f1cf6f3d8284cc43b.jpg,./data/base_data/graphic/08078bc95f672d12d671e93f1cf6f3d8284cc43b.jpg,./data/base_data/misc_ext/08078bc95f672d12d671e93f1cf6f3d8284cc43b.jpg,./data/base_data/uncertain/08078bc95f672d12d671e93f1cf6f3d8284cc43b.jpg
344,084dbe827411dca1e243505569c6c21952d232db,misc_int,bathroom,uncertain,084dbe827411dca1e243505569c6c21952d232db.jpg,./data/base_data/misc_int/084dbe827411dca1e243505569c6c21952d232db.jpg,./data/base_data/bathroom/084dbe827411dca1e243505569c6c21952d232db.jpg,./data/base_data/uncertain/084dbe827411dca1e243505569c6c21952d232db.jpg
24,052a37531b447a7db1132837db6f61c212bee3aa,diningroom,kitchen,uncertain,052a37531b447a7db1132837db6f61c212bee3aa.jpg,./data/base_data/diningroom/052a37531b447a7db1132837db6f61c212bee3aa.jpg,./data/base_data/kitchen/052a37531b447a7db1132837db6f61c212bee3aa.jpg,./data/base_data/uncertain/052a37531b447a7db1132837db6f61c212bee3aa.jpg
268,078687e17187f90513466a4a346118ec140c1068,carpark,misc_ext,uncertain,078687e17187f90513466a4a346118ec140c1068.jpg,./data/base_data/carpark/078687e17187f90513466a4a346118ec140c1068.jpg,./data/base_data/misc_ext/078687e17187f90513466a4a346118ec140c1068.jpg,./data/base_data/uncertain/078687e17187f90513466a4a346118ec140c1068.jpg
311,07ef609aa7df6a17676b7279bb04f6af5eaa8882,misc_int,entrance,uncertain,07ef609aa7df6a17676b7279bb04f6af5eaa8882.jpg,./data/base_data/misc_int/07ef609aa7df6a17676b7279bb04f6af5eaa8882.jpg,./data/base_data/entrance/07ef609aa7df6a17676b7279bb04f6af5eaa8882.jpg,./data/base_data/uncertain/07ef609aa7df6a17676b7279bb04f6af5eaa8882.jpg
283,07ac159be7e13bbd25a34878afc870f359ad7fa3,diningroom,diningroom,uncertain,07ac159be7e13bbd25a34878afc870f359ad7fa3.jpg,./data/base_data/diningroom/07ac159be7e13bbd25a34878afc870f359ad7fa3.jpg,./data/base_data/diningroom/07ac159be7e13bbd25a34878afc870f359ad7fa3.jpg,./data/base_data/uncertain/07ac159be7e13bbd25a34878afc870f359ad7fa3.jpg
214,06fe75a3b7621ae38df1884308a4a82aa590f373,misc_ext,misc_int,uncertain,06fe75a3b7621ae38df1884308a4a82aa590f373.jpg,./data/base_data/misc_ext/06fe75a3b7621ae38df1884308a4a82aa590f373.jpg,./data/base_data/misc_int/06fe75a3b7621ae38df1884308a4a82aa590f373.jpg,./data/base_data/uncertain/06fe75a3b7621ae38df1884308a4a82aa590f373.jpg
