,room,label1,label1_P,label2,label2_P,label3,label3_P,label1_correct,label2_correct,label3_correct,image_path,filename,id
2855,kitchen,kitchen,0.9999928474426271,livingroom,2.725140120674041e-06,diningroom,1.7843550494944789e-06,True,False,False,./data/test_data/kitchen/22f7bc74e8bc8b0136bd99e5ae4e8ae61eb31389.jpg,22f7bc74e8bc8b0136bd99e5ae4e8ae61eb31389.jpg,22f7bc74e8bc8b0136bd99e5ae4e8ae61eb31389
3156,livingroom,livingroom,0.784778892993927,study,0.10640697926282884,diningroom,0.08466305583715439,True,False,False,./data/test_data/livingroom/0699036628e810383b9a43ade40093c63815b0c7.jpg,0699036628e810383b9a43ade40093c63815b0c7.jpg,0699036628e810383b9a43ade40093c63815b0c7
1847,empty,empty,0.9877225160598756,kitchen,0.00881781242787838,entrance,0.0015619925688952208,True,False,False,./data/test_data/empty/05f26879f6eaff417349f9db57164b83cd950e82.jpg,05f26879f6eaff417349f9db57164b83cd950e82.jpg,05f26879f6eaff417349f9db57164b83cd950e82
3677,misc_int,misc_int,0.4181210994720459,diningroom,0.21752913296222687,livingroom,0.16669291257858276,True,False,False,./data/test_data/misc_int/068e91fa7e12866f4cb6e91b4fcaeca8ae3aa6b9.jpg,068e91fa7e12866f4cb6e91b4fcaeca8ae3aa6b9.jpg,068e91fa7e12866f4cb6e91b4fcaeca8ae3aa6b9
687,bedroom,bedroom,0.7988770604133606,empty,0.15878134965896604,misc_int,0.026992496103048325,True,False,False,./data/test_data/bedroom/05359f7ec2db95f3ba315b5350d8791116036223.jpg,05359f7ec2db95f3ba315b5350d8791116036223.jpg,05359f7ec2db95f3ba315b5350d8791116036223
1505,diningroom,diningroom,0.9716430306434632,misc_int,0.00843613501638174,entrance,0.007361844182014465,True,False,False,./data/test_data/diningroom/052c252b0e8b8b1cba39c5e1ed0b4981df031763.jpg,052c252b0e8b8b1cba39c5e1ed0b4981df031763.jpg,052c252b0e8b8b1cba39c5e1ed0b4981df031763
1923,empty,empty,0.9587884545326232,misc_int,0.013050917536020279,entrance,0.009604714810848236,True,False,False,./data/test_data/empty/06fd05c700f4a896f9b39fd71b252e3855b5a021.jpg,06fd05c700f4a896f9b39fd71b252e3855b5a021.jpg,06fd05c700f4a896f9b39fd71b252e3855b5a021
2369,kitchen,kitchen,0.9992631077766418,empty,0.0005397929344326258,livingroom,9.013969975057991e-05,True,False,False,./data/test_data/kitchen/05c7159cf06096b741883b36346017d2032622cc.jpg,05c7159cf06096b741883b36346017d2032622cc.jpg,05c7159cf06096b741883b36346017d2032622cc
1312,bedroom,bedroom,0.904395878314972,livingroom,0.05175216123461723,misc_int,0.021500123664736748,True,False,False,./data/test_data/bedroom/0944b3940c5a320f2455b47fb6a843c6b4d08332.jpg,0944b3940c5a320f2455b47fb6a843c6b4d08332.jpg,0944b3940c5a320f2455b47fb6a843c6b4d08332
2573,kitchen,kitchen,0.9718583226203918,study,0.008606217801570892,diningroom,0.007357831113040447,True,False,False,./data/test_data/kitchen/0751465afc57198cd856e5393c8e9e06351428f4.jpg,0751465afc57198cd856e5393c8e9e06351428f4.jpg,0751465afc57198cd856e5393c8e9e06351428f4
