,id,room,filename,image_path
0,0000cb639c369a1d5b333d8c804cbfb628c31289,bathroom,0000cb639c369a1d5b333d8c804cbfb628c31289.jpg,./data/base_data/bathroom/0000cb639c369a1d5b333d8c804cbfb628c31289.jpg
1,000733430218ceea3108c989541c57fac2ba0ec9,bathroom,000733430218ceea3108c989541c57fac2ba0ec9.jpg,./data/base_data/bathroom/000733430218ceea3108c989541c57fac2ba0ec9.jpg
2,00098584f6a4e17fd099b93c13788606e398a989,bathroom,00098584f6a4e17fd099b93c13788606e398a989.jpg,./data/base_data/bathroom/00098584f6a4e17fd099b93c13788606e398a989.jpg
3,000edba64f83bce23027d2a4c213d354bb970439,bathroom,000edba64f83bce23027d2a4c213d354bb970439.jpg,./data/base_data/bathroom/000edba64f83bce23027d2a4c213d354bb970439.jpg
4,002154511c2145b7a1f28e680ef70b93c71f3089,bathroom,002154511c2145b7a1f28e680ef70b93c71f3089.jpg,./data/base_data/bathroom/002154511c2145b7a1f28e680ef70b93c71f3089.jpg
5,0024d3b7ded6abdcd8d2c9a91a963227dd47e4f9,bathroom,0024d3b7ded6abdcd8d2c9a91a963227dd47e4f9.jpg,./data/base_data/bathroom/0024d3b7ded6abdcd8d2c9a91a963227dd47e4f9.jpg
6,003457d1fb62155b4531aba3e5b39f4d57bed9f9,bathroom,003457d1fb62155b4531aba3e5b39f4d57bed9f9.jpg,./data/base_data/bathroom/003457d1fb62155b4531aba3e5b39f4d57bed9f9.jpg
7,0035742dfac3284819b412eb277cce498a52da79,bathroom,0035742dfac3284819b412eb277cce498a52da79.jpg,./data/base_data/bathroom/0035742dfac3284819b412eb277cce498a52da79.jpg
8,0038cad4553a9922d24a70a4d77abb9d2c1261f9,bathroom,0038cad4553a9922d24a70a4d77abb9d2c1261f9.jpg,./data/base_data/bathroom/0038cad4553a9922d24a70a4d77abb9d2c1261f9.jpg
9,0039e85363197bca4b7b7188fc97e962894a13c9,bathroom,0039e85363197bca4b7b7188fc97e962894a13c9.jpg,./data/base_data/bathroom/0039e85363197bca4b7b7188fc97e962894a13c9.jpg
10,003f5052b875f64f4f5ce99948ae87f35d44b009,bathroom,003f5052b875f64f4f5ce99948ae87f35d44b009.jpg,./data/base_data/bathroom/003f5052b875f64f4f5ce99948ae87f35d44b009.jpg
11,004011800a56d981628c1269e70e65e024085de9,bathroom,004011800a56d981628c1269e70e65e024085de9.jpg,./data/base_data/bathroom/004011800a56d981628c1269e70e65e024085de9.jpg
12,0042ef3acb52d3d438660247a94fc66a8e89c1e9,bathroom,0042ef3acb52d3d438660247a94fc66a8e89c1e9.jpg,./data/base_data/bathroom/0042ef3acb52d3d438660247a94fc66a8e89c1e9.jpg
13,00489c460959b4a3a328c2c0349dd3f6c312fc39,bathroom,00489c460959b4a3a328c2c0349dd3f6c312fc39.jpg,./data/base_data/bathroom/00489c460959b4a3a328c2c0349dd3f6c312fc39.jpg
14,005505d1c64c8128fa3595abb1000f9ea7e51959,bathroom,005505d1c64c8128fa3595abb1000f9ea7e51959.jpg,./data/base_data/bathroom/005505d1c64c8128fa3595abb1000f9ea7e51959.jpg
15,0060af05f71730efe5bd7cbd4eb5da8ddfa3b5c9,bathroom,0060af05f71730efe5bd7cbd4eb5da8ddfa3b5c9.jpg,./data/base_data/bathroom/0060af05f71730efe5bd7cbd4eb5da8ddfa3b5c9.jpg
16,00618a16e9742d519c378a39babf27977baafa19,bathroom,00618a16e9742d519c378a39babf27977baafa19.jpg,./data/base_data/bathroom/00618a16e9742d519c378a39babf27977baafa19.jpg
17,006679bd464bcf382089409c611cf061d69431f9,bathroom,006679bd464bcf382089409c611cf061d69431f9.jpg,./data/base_data/bathroom/006679bd464bcf382089409c611cf061d69431f9.jpg
18,007b8f99b24f9ba14ab97ac18d575fc0bc3a5d49,bathroom,007b8f99b24f9ba14ab97ac18d575fc0bc3a5d49.jpg,./data/base_data/bathroom/007b8f99b24f9ba14ab97ac18d575fc0bc3a5d49.jpg
19,007d0918d2bbca4c24da505ad4d9fd37d6d69b29,bathroom,007d0918d2bbca4c24da505ad4d9fd37d6d69b29.jpg,./data/base_data/bathroom/007d0918d2bbca4c24da505ad4d9fd37d6d69b29.jpg
20,00840251c3310a7a02ec7bfe14454474613e7899,bathroom,00840251c3310a7a02ec7bfe14454474613e7899.jpg,./data/base_data/bathroom/00840251c3310a7a02ec7bfe14454474613e7899.jpg
21,008c8ecb60b9617cff7b3e80f487d8704d0914f9,bathroom,008c8ecb60b9617cff7b3e80f487d8704d0914f9.jpg,./data/base_data/bathroom/008c8ecb60b9617cff7b3e80f487d8704d0914f9.jpg
