,id,room_uncertain,room_base,filename,image_path_uncertain,image_path_base
0,0004f3c83558a0033af8c4cb6fc421d50f383ae9,uncertain,study,0004f3c83558a0033af8c4cb6fc421d50f383ae9.jpg,./data/base_data/uncertain/0004f3c83558a0033af8c4cb6fc421d50f383ae9.jpg,./data/base_data/study/0004f3c83558a0033af8c4cb6fc421d50f383ae9.jpg
1,00159cfba55720a60b93ad428b147b0c047302f9,uncertain,diningroom,00159cfba55720a60b93ad428b147b0c047302f9.jpg,./data/base_data/uncertain/00159cfba55720a60b93ad428b147b0c047302f9.jpg,./data/base_data/diningroom/00159cfba55720a60b93ad428b147b0c047302f9.jpg
2,01723a29323dd1e3eb2686dd8cef4a6bce343859,uncertain,empty,01723a29323dd1e3eb2686dd8cef4a6bce343859.jpg,./data/base_data/uncertain/01723a29323dd1e3eb2686dd8cef4a6bce343859.jpg,./data/base_data/empty/01723a29323dd1e3eb2686dd8cef4a6bce343859.jpg
3,0232125f31767e2638c31b5837a73695f9a7c379,uncertain,study,0232125f31767e2638c31b5837a73695f9a7c379.jpg,./data/base_data/uncertain/0232125f31767e2638c31b5837a73695f9a7c379.jpg,./data/base_data/study/0232125f31767e2638c31b5837a73695f9a7c379.jpg
4,02651bc091644ade28bf797241506e5fd3004449,uncertain,livingroom,02651bc091644ade28bf797241506e5fd3004449.jpg,./data/base_data/uncertain/02651bc091644ade28bf797241506e5fd3004449.jpg,./data/base_data/livingroom/02651bc091644ade28bf797241506e5fd3004449.jpg
5,0274daeec5b54cfff4923b255071f37afe9468f9,uncertain,study,0274daeec5b54cfff4923b255071f37afe9468f9.jpg,./data/base_data/uncertain/0274daeec5b54cfff4923b255071f37afe9468f9.jpg,./data/base_data/study/0274daeec5b54cfff4923b255071f37afe9468f9.jpg
6,02a55bf3e3f81df999b6afde2c1cecdebeaca619,uncertain,front,02a55bf3e3f81df999b6afde2c1cecdebeaca619.jpg,./data/base_data/uncertain/02a55bf3e3f81df999b6afde2c1cecdebeaca619.jpg,./data/base_data/front/02a55bf3e3f81df999b6afde2c1cecdebeaca619.jpg
7,042b853e3d4a362a21870c13982bc181b63e11c9,uncertain,kitchen,042b853e3d4a362a21870c13982bc181b63e11c9.jpg,./data/base_data/uncertain/042b853e3d4a362a21870c13982bc181b63e11c9.jpg,./data/base_data/kitchen/042b853e3d4a362a21870c13982bc181b63e11c9.jpg
8,044f5d4ddc6cb1db54aabc970bd686f4409b38b9,uncertain,kitchen,044f5d4ddc6cb1db54aabc970bd686f4409b38b9.jpg,./data/base_data/uncertain/044f5d4ddc6cb1db54aabc970bd686f4409b38b9.jpg,./data/base_data/kitchen/044f5d4ddc6cb1db54aabc970bd686f4409b38b9.jpg
9,04a85d9ef447bbe372b7559d09ae52c3f0dce099,uncertain,empty,04a85d9ef447bbe372b7559d09ae52c3f0dce099.jpg,./data/base_data/uncertain/04a85d9ef447bbe372b7559d09ae52c3f0dce099.jpg,./data/base_data/empty/04a85d9ef447bbe372b7559d09ae52c3f0dce099.jpg
10,0500626f9d10ae3f6553d035a57af0e5fa0272ab,uncertain,misc_ext,0500626f9d10ae3f6553d035a57af0e5fa0272ab.jpg,./data/base_data/uncertain/0500626f9d10ae3f6553d035a57af0e5fa0272ab.jpg,./data/base_data/misc_ext/0500626f9d10ae3f6553d035a57af0e5fa0272ab.jpg
11,050476d7fdb3df5de54123ac53e16315206a5c1c,uncertain,study,050476d7fdb3df5de54123ac53e16315206a5c1c.jpg,./data/base_data/uncertain/050476d7fdb3df5de54123ac53e16315206a5c1c.jpg,./data/base_data/study/050476d7fdb3df5de54123ac53e16315206a5c1c.jpg
12,050669aa00af65b8cbab7afd7295f1b348ca7653,uncertain,misc_ext,050669aa00af65b8cbab7afd7295f1b348ca7653.jpg,./data/base_data/uncertain/050669aa00af65b8cbab7afd7295f1b348ca7653.jpg,./data/base_data/misc_ext/050669aa00af65b8cbab7afd7295f1b348ca7653.jpg
13,050a0fd386f441d61898a2bdbb118261d0839e30,uncertain,kitchen,050a0fd386f441d61898a2bdbb118261d0839e30.jpg,./data/base_data/uncertain/050a0fd386f441d61898a2bdbb118261d0839e30.jpg,./data/base_data/kitchen/050a0fd386f441d61898a2bdbb118261d0839e30.jpg
